,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
60,B0FFFY0MGV,布丁酒店(上海外滩四川北路地铁站店),121.48108700000002,31.252755,虹口区,[],3.8,住宿服务;宾馆酒店;经济型连锁酒店,31.257113602204143,121.49198944176355,13523212.745853204,3665617.8799934923
61,B0FFJXPBY6,桔子酒店(上海外滩四川北路店),121.48185,31.252349,虹口区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.256701408311756,121.49275016483324,13523297.682624677,3665565.0126320063
62,B0FFFHAIIP,汉庭酒店(上海四川北路东宝兴路地铁站店),121.47909299999999,31.262006,虹口区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.266416118119512,121.48999372740752,13522990.77478856,3666822.562205336
63,B0015747SY,如家精选酒店(上海赤峰路地铁站店),121.477915,31.284363,虹口区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.28856224777044,121.48887992987079,13522859.640428405,3669734.4194720313
64,B00155EQAN,莫泰168旅店(赤峰路地铁站店),121.477824,31.284370000000003,虹口区,[],4.1,住宿服务;宾馆酒店;经济型连锁酒店,31.28856939237698,121.48878932465911,13522849.510354744,3669735.3312856667
65,B0FFG69MBA,海友酒店(上海大柏树地铁站店),121.47691100000002,31.292412,虹口区,[],3.9,住宿服务;宾馆酒店;经济型连锁酒店,31.29646751181019,121.48791919412206,13522747.875659652,3670782.919608825
66,B00155KRF8,莫泰168旅店(上海曲阳商务中心大柏树地铁站店),121.48288899999999,31.294145,虹口区,[],4.1,住宿服务;宾馆酒店;经济型连锁酒店,31.298150500865535,121.49388130227061,13523413.34357561,3671008.6799532007
67,B00155K8JL,7天酒店(上海同济大学岳阳医院店),121.48549799999999,31.291045,虹口区,[],3.8,住宿服务;宾馆酒店;经济型连锁酒店,31.295100346366844,121.4964635153956,13523703.776127093,3670604.8415268096
68,B0GRUC7IZ9,汉庭优佳酒店(上海大柏树地铁站酒店),121.481123,31.294586,虹口区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.29858865447223,121.49212495369486,13523216.75335487,3671066.130305201
69,B0FFG8N7I4,海友良品酒店(大柏树店),121.48266699999999,31.294014,虹口区,[],4.1,住宿服务;宾馆酒店;经济型连锁酒店,31.298022607510884,121.49365959783913,13523388.630648656,3670991.614254162
70,B00155QT3Y,易佰酒店(上海江湾镇大柏树地铁站店),121.47662,31.297271999999996,虹口区,[],4.6,住宿服务;宾馆酒店;经济型连锁酒店,31.301238838919453,121.48765330870938,13522715.481687829,3671416.0491380724
71,B0FFK03NY1,如家酒店·neo(上海江湾镇地铁站店),121.481897,31.304757000000002,杨浦区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.308584974201995,121.4929420201215,13523302.914640747,3672391.2106448505
72,B0G0SS0JT1,如家快捷酒店,121.481862,31.304767,杨浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.308594934609786,121.49290720708875,13523299.018458568,3672392.5135176526
73,B00155G9GY,格林豪泰酒店(大柏树商务酒店)(暂停营业),121.485161,31.297114,杨浦区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.301058151355925,121.49615804684596,13523666.261458697,3671395.465401264
74,B00156ECZ1,格林豪泰酒店(上海虹口区江湾镇地铁站场中路店),121.47593400000001,31.309890999999997,虹口区,[],3.6,住宿服务;宾馆酒店;经济型连锁酒店,31.313670945773904,121.48702100339881,13522639.116517147,3673060.1237306567
75,B0FFHPCTDE,布丁酒店(场中路地铁站上海大学店),121.412618,31.301639,宝山区,[],3.5,住宿服务;宾馆酒店;经济型连锁酒店,31.30563298839823,121.42377297122373,13515590.811638078,3671984.981649028
76,B00156GA8A,锦江之星酒店(场中路店),121.405928,31.304266,宝山区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.30822089439182,121.41709515660453,13514846.084244672,3672327.2397604682
77,B0FFIQ9RZC,锦江之星酒店(上海世博园区历城路店),121.487843,31.178703999999996,浦东新区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.18255816654947,121.49882512952138,13523964.820333002,3655979.072194969
78,B00156EC8W,7天酒店(上海西藏南路地铁站店),121.485844,31.204560999999998,黄浦区,[],3.9,住宿服务;宾馆酒店;经济型连锁酒店,31.208198329357984,121.49689781146508,13523742.292670907,3659343.8767865077
79,B0HA3D2V86,如家酒店neo(西藏南路地铁站店),121.48707399999999,31.204041999999998,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.20767398029051,121.49812264969674,13523879.215644581,3659276.329607404
80,B0FFFWQHRH,易佰连锁旅店(上海南外滩店),121.491821,31.213365999999997,黄浦区,[],4.2,住宿服务;宾馆酒店;经济型连锁酒店,31.21704777520266,121.50283352789906,13524407.64926738,3660489.892642953
81,B00156LVMF,吉泰酒店(上海陆家浜路迎勋路店),121.48753500000001,31.213732,黄浦区,[],4.2,住宿服务;宾馆酒店;经济型连锁酒店,31.217431828349905,121.4985658480965,13523930.533929838,3660537.531727818
82,B00155QDEP,如家商旅酒店(上海外滩城隍庙店),121.486209,31.224087,黄浦区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.22794726344353,121.49720773476183,13523782.924285047,3661885.4298005356
83,B0FFFS5JMU,汉庭酒店(上海外滩延安东路店),121.48591299999998,31.234156,黄浦区,[],4.4,住宿服务;宾馆酒店;经济型连锁酒店,31.238209779501492,121.49686559945832,13523749.97371577,3663196.2412096933
84,B0FFHDOMD8,桔子水晶酒店(豫园店),121.487319,31.231239000000002,黄浦区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.235231309780307,121.49827945214942,13523906.488919828,3662816.4833807396
85,B0FFI05A78,hotel INDIGO,121.49563500000001,31.228057,黄浦区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.231960305656585,121.50657295237306,13524832.221805265,3662402.2391524427
86,B0FFGXI87M,上海海又酒店,121.49140200000001,31.257617,虹口区,[],3.7,住宿服务;宾馆酒店;经济型连锁酒店,31.261977230401072,121.5022513370346,13524361.006400736,3666251.0038442095
87,B00157BO6T,汉庭优佳酒店(上海北外滩海伦路地铁站店),121.486883,31.261314000000002,虹口区,[],4.7,住宿服务;宾馆酒店;经济型连锁酒店,31.26569955798431,121.49775059381015,13523857.95362184,3666732.4446085533
88,B00155EQB3,莫泰168旅店(上海虹口足球场四平路店),121.486911,31.268021,虹口区,[],4.5,住宿服务;宾馆酒店;经济型连锁酒店,31.272391380749724,121.49778364744313,13523861.070567584,3667605.909904124
89,B00157482L,如家快捷酒店(虹口足球场四平路店),121.486824,31.267948999999998,虹口区,[],4.3,住宿服务;宾馆酒店;经济型连锁酒店,31.27232005034813,121.49769691745917,13523851.385771884,3667596.5328782815
90,B0FFHW6KWY,上海天宝华庭单身公寓,121.49415400000001,31.274553000000004,虹口区,[],3.0,住宿服务;宾馆酒店;经济型连锁酒店,31.278844887416692,121.50500928190222,13524667.3576394,3668456.644300843
91,B0HUZUJ8DT,汉庭酒店(上海四平路地铁站店)(装修中),121.49473700000001,31.275146999999997,虹口区,[],[],住宿服务;宾馆酒店;经济型连锁酒店,31.279430185768227,121.5055914622174,13524732.256902533,3668534.010393613
92,B0FFIRVRKW,上海精装温馨公寓(场联路分店),121.40546200000001,31.308834,宝山区,[],3.5,住宿服务;宾馆酒店;经济型连锁酒店,31.312728435290897,121.41664570623514,13514794.209361963,3672922.4033505917
