,id,name,wgslng,wgslat,adname,cost,rating,type,bdlat,bdlng,WMlat,WMlng
70,B0FFI78XVB,北京银行(上海凉城社区支行),121.469726,31.296691999999997,虹口区,[],3.5,金融保险服务;银行;北京银行|金融保险服务;自动提款机;自动提款机,31.30068834826847,121.4807816915996,13521948.0451183,3671340.488754391
71,B00155AWQY,上海浦东发展银行24小时自助银行(广中路社区支行),121.46600500000001,31.290855,虹口区,[],[],金融保险服务;自动提款机;上海浦东发展银行ATM,31.294969040812678,121.4770437765063,13521533.825293059,3670580.0905713136
72,B00155CCR7,中国农业银行24小时自助银行(水电支行),121.46588,31.289915,虹口区,[],[],金融保险服务;自动提款机;中国农业银行ATM,31.294046858876474,121.47691447321941,13521519.91035671,3670457.639209624
73,B00155CBZ3,中国工商银行24小时自助银行(凉城支行),121.46607,31.291194,虹口区,[],3.5,金融保险服务;自动提款机;中国工商银行ATM,31.295301550649146,121.47711027032899,13521541.06105996,3670624.2515215436
74,B0FFH8JUCH,中国工商银行24小时自助银行(车站南路分理处),121.46847199999999,31.296622999999997,虹口区,[],3.5,金融保险服务;自动提款机;中国工商银行ATM,31.300623884210307,121.47953154305317,13521808.450476846,3671331.4997052155
75,B00155CC8Z,中国建设银行24小时自助银行(广灵路支行),121.475502,31.288155,虹口区,[],[],金融保险服务;自动提款机;中国建设银行ATM,31.292293623810014,121.48649447737185,13522591.026497124,3670228.3718581107
76,B0FFKE056B,兴业银行(车站南路社区支行),121.470941,31.296305,虹口区,[],[],金融保险服务;银行;兴业银行,31.300305129639188,121.48199063275909,13522083.298299614,3671290.0719984123
77,B00155IFB1,中国银行24小时自助银行(凉城支行),121.465645,31.28885,虹口区,[],[],金融保险服务;自动提款机;中国银行ATM,31.2930021640018,121.47667491064223,13521493.750276372,3670318.9058974804
78,B0FFG9IHAZ,招商银行(上海江湾支行),121.472067,31.306152,虹口区,[],4.5,金融保险服务;银行;招商银行,31.309988748219002,121.4831558240838,13522208.644046249,3672572.962736312
79,B00155HG5K,申万宏源证券,121.470354,31.306503000000003,虹口区,[],[],金融保险服务;证券公司;证券营业厅,31.31033965030487,121.48145011461175,13522017.953758517,3672618.6943314704
80,B00155CC93,中国建设银行(凉城支行),121.466783,31.298443,虹口区,[],[],金融保险服务;银行;中国建设银行,31.302415711877117,121.47785669562138,13521620.431856897,3671568.6043643747
